old_id,kept_id,old_specification_key,kept_specification_key,normalized_key
531,27,display_type,Display Type,displaytype
532,62,resolution,Resolution,resolution
533,61,refresh_rate,Refresh Rate,refreshrate
534,65,screen_protection,Screen Protection,screenprotection
536,19,chipset,Chipset,chipset
537,21,cpu_type,CPU Type,cputype
538,33,gpu_type,GPU Type,gputype
539,57,processor_speed,Processor Speed,processorspeed
540,60,ram,RAM,ram
542,36,internal_memory_capacity,Internal Memory Capacity,internalmemorycapacity
543,17,card_slot_type,Card Slot Type,cardslottype
544,122,rear_camera,Rear Camera,rearcamera
545,16,camera_features,Camera Features,camerafeatures
546,58,quad_camera_setup,Quad Camera Setup,quadcamerasetup
548,193,optical_zoom,Optical Zoom,opticalzoom
550,32,front_camera_video_resolution,Front Camera Video Resolution,frontcameravideoresolution
552,12,battery_type,Battery Type,batterytype
554,18,charging_speed,Charging Speed,chargingspeed
555,82,wireless_charging,Wireless Charging,wirelesscharging
556,49,operating_system,Operating System,operatingsystem
557,14,build_material,Build Material,buildmaterial
558,80,weight,Weight,weight
559,25,dimensions,Dimensions,dimensions
560,78,water_resistance,Water Resistance,waterresistance
562,1,2g_bands,2G Bands,2gbands
563,3,3g_bands,3G Bands,3gbands
564,4,4g_bands,4G Bands,4gbands
565,5,5g_bands,5G Bands,5gbands
566,387,wifi_support,Wi-Fi Support,wifisupport
567,13,bluetooth_version,Bluetooth Version,bluetoothversion
568,46,nfc_support,NFC Support,nfcsupport
569,76,usb_type,USB Type,usbtype
570,54,positioning_system,Positioning System,positioningsystem
571,67,sensors,Sensors,sensors
572,69,special_features,Special Features,specialfeatures
573,68,sim_card_type,SIM Card Type,simcardtype
576,10,available_colors,Available Colors,availablecolors
577,42,model_variants,Model Variants,modelvariants
578,8,announcement_date,Announcement Date,announcementdate
579,23,device_status,Device Status,devicestatus
582,38,loudspeaker_quality,Loudspeaker Quality,loudspeakerquality
583,9,audio_quality,Audio Quality,audioquality
614,60,Ram,RAM,ram
615,549,Front Camera,front_camera,frontcamera
616,68,Sim Card Type,SIM Card Type,simcardtype
617,561,Network Technology,network_technology,networktechnology
618,46,Nfc Support,NFC Support,nfcsupport
619,551,Battery,battery,battery
620,574,Sar Rating,sar_rating,sarrating
621,530,Display Size,display_size,displaysize
622,1,2g Bands,2G Bands,2gbands
623,76,Usb Type,USB Type,usbtype
624,584,Audio Jack,audio_jack,audiojack
625,541,Storage,storage,storage
626,547,Camera Video Resolution,camera_video_resolution,cameravideoresolution
627,575,Sar Rating Eu,sar_rating_eu,sarratingeu
628,3,3g Bands,3G Bands,3gbands
629,5,5g Bands,5G Bands,5gbands
630,387,Wifi Support,Wi-Fi Support,wifisupport
631,21,Cpu Type,CPU Type,cputype
632,33,Gpu Type,GPU Type,gputype
633,4,4g Bands,4G Bands,4gbands
634,553,Fast Charging,fast_charging,fastcharging
635,581,5g Support,5g_support,5gsupport
636,535,Processor,processor,processor
637,581,5G Support,5g_support,5gsupport
